"Name","Extension","SizeMB","LastWriteTime"
"appleTree_fruitNerf_density_001_April2026_BCEMaskLoss.ply",".ply","8.63","4/12/2026 1:31:13 PM"
"appleTree_fruitNerf_density_001_April2026_mseMaskLoss.ply",".ply","8.42","4/12/2026 1:45:54 PM"
"appleTreeSeg_invNerf_density_001_April2026.ply",".ply","161.14","4/12/2026 1:57:54 AM"
"appleTreeSeg_invNerf_density_001_April2026_fineTuneColorFreezeDensity.ply",".ply","35.25","4/13/2026 11:29:39 AM"
"appleTreeSeg_invNerf_density_001_April2026_fineTuneDensityFreezeColor.ply",".ply","34.75","4/13/2026 11:40:39 AM"
"appleTreeSeg_invNerf_density_002_April2026.ply",".ply","36.96","4/13/2026 12:06:38 PM"
"labeled_FruitNeRF_BCE_apple_002.ply",".ply","3.87","4/14/2026 12:19:26 AM"
"labeled_FruitNeRF_BCE_peach_002.ply",".ply","3","4/14/2026 12:22:17 AM"
"labeled_FruitNeRF_MSE_apple_002.ply",".ply","3.53","4/14/2026 12:19:30 AM"
"labeled_FruitNeRF_MSE_peach_002.ply",".ply","2.65","4/14/2026 12:22:20 AM"
"labeled_InvNeRF-Seg_apple_002.ply",".ply","9.21","4/14/2026 12:18:45 AM"
"labeled_InvNeRF-Seg_peach_002.ply",".ply","7.13","4/14/2026 12:21:43 AM"
"labeled_InvNeRF-SegfineTuneColorFreezeDensity_apple_002.ply",".ply","9.28","4/14/2026 12:19:21 AM"
"labeled_InvNeRF-SegfineTuneColorFreezeDensity_peach_002.ply",".ply","6.86","4/14/2026 12:22:14 AM"
"labeled_InvNeRF-Seg-fineTuneDensityFreezeColor_apple_002.ply",".ply","8.03","4/14/2026 12:19:00 AM"
"labeled_InvNeRF-Seg-fineTuneDensityFreezeColor_peach_002.ply",".ply","6.43","4/14/2026 12:21:58 AM"
"labeled_SA3D_density_apple_002.ply",".ply","8.98","4/14/2026 12:21:19 AM"
"labeled_SA3D_density_peach_002.ply",".ply","7.46","4/14/2026 12:24:27 AM"
"labeled_SA3D_weight_apple_002.ply",".ply","2.77","4/14/2026 12:21:26 AM"
"labeled_SA3D_weight_peach_002.ply",".ply","2.17","4/14/2026 12:24:38 AM"
"originalSA3D_appleTree_weightColor_001_defaultConfig.ply",".ply","40.51","4/11/2026 4:33:32 PM"
"originalSA3D_appleTree_weightSeg_001_defaultConfig.ply",".ply","40.51","4/11/2026 4:33:32 PM"
"originalSA3D_appleTree_weightSeg_002_defaultConfig.ply",".ply","5.73","4/13/2026 12:46:40 PM"
"originalSA3D_peachTree_weightColor_001_defaultConfig.ply",".ply","31.5","4/11/2026 5:21:09 PM"
"originalSA3D_peachTree_weightSeg_001_defaultConfig.ply",".ply","31.5","4/11/2026 5:21:09 PM"
"originalSA3D_peachTree_weightSeg_002_defaultConfig.ply",".ply","5.3","4/13/2026 12:47:59 PM"
"peachTree_fruitNerf_density_001_April2026_BCEMaskLoss.ply",".ply","7.37","4/12/2026 1:32:25 PM"
"peachTree_fruitNerf_density_001_April2026_mseMaskLoss.ply",".ply","7.04","4/12/2026 5:31:26 PM"
"peachTreeSeg_invNerf_density_001_April2026_fineTuneColorFreezeDensity.ply",".ply","28.35","4/13/2026 11:30:43 AM"
"peachTreeSeg_invNerf_density_001_April2026_fineTuneDensityFreezeColor.ply",".ply","30.06","4/13/2026 11:41:43 AM"
"peachTreeSeg_invNerf_density_002_April2026.ply",".ply","31.61","4/13/2026 12:07:41 PM"
"soybeanRGBSeg_invNerf_density_001_2026.ply",".ply","101.44","4/18/2026 11:13:41 PM"
"variantSA3D_appleTree_densityColor_001_defaultConfig.ply",".ply","190.04","4/11/2026 2:58:25 PM"
"variantSA3D_appleTree_densitySeg_001_defaultConfig.ply",".ply","190.04","4/11/2026 2:58:24 PM"
"variantSA3D_appleTree_densitySeg_002_defaultConfig.ply",".ply","25.34","4/13/2026 12:49:35 PM"
"variantSA3D_peachTree_densityColor_001_defaultConfig.ply",".ply","212.35","4/11/2026 3:33:45 PM"
"variantSA3D_peachTree_densitySeg_001_defaultConfig.ply",".ply","212.35","4/11/2026 3:33:44 PM"
"variantSA3D_peachTree_densitySeg_002_defaultConfig.ply",".ply","25.46","4/13/2026 12:50:56 PM"
"best_checkpoint_invNerf_fruitsNappleTree_RGB_defaultConfig_001_April2026.pth",".pth","231.88","4/9/2026 11:50:22 AM"
"best_checkpoint_invNerf_fruitsNappleTree_RGB_defaultConfig_001_April2026_MaskOnly.pth",".pth","231.88","4/9/2026 8:41:04 PM"
"best_checkpoint_invNerf_fruitsNappleTreeSeg_RGB_defaultConfig_001_April2026.pth",".pth","231.88","4/9/2026 8:18:07 PM"
"best_checkpoint_invNerf_fruitsNappleTreeSeg_RGB_defaultConfig_001_April2026_fineTuneColorFreezeDensity.pth",".pth","103.86","4/9/2026 7:04:03 PM"
"best_checkpoint_invNerf_fruitsNappleTreeSeg_RGB_defaultConfig_001_April2026_fineTuneDensityFreezeColor.pth",".pth","231.74","4/9/2026 5:03:24 PM"
"best_checkpoint_invNerf_fruitsNappleTreeSeg_RGB_defaultConfig_001_April2026_MaskOnly.pth",".pth","231.88","4/13/2026 10:01:59 PM"
"best_checkpoint_invNerf_fruitsNappleTreeSeg_RGB_defaultConfig_002_April2026_MaskOnly.pth",".pth","231.88","4/13/2026 9:33:54 PM"
"best_checkpoint_invNerf_fruitsNpeachTree_RGB_defaultConfig_001_April2026.pth",".pth","231.88","4/10/2026 7:50:57 PM"
"best_checkpoint_invNerf_fruitsNpeachTreeSeg_RGB_defaultConfig_001_April2026.pth",".pth","231.88","4/10/2026 10:16:26 PM"
"best_checkpoint_invNerf_fruitsNpeachTreeSeg_RGB_defaultConfig_001_April2026_fineTuneColorFreezeDensity.pth",".pth","103.86","4/11/2026 1:55:10 AM"
"best_checkpoint_invNerf_fruitsNpeachTreeSeg_RGB_defaultConfig_001_April2026_fineTuneDensityFreezeColor.pth",".pth","231.74","4/11/2026 12:36:41 AM"
"best_checkpoint_invNerf_fruitsNpeachTreeSeg_RGB_defaultConfig_001_April2026_MaskOnly.pth",".pth","231.88","4/11/2026 7:12:44 AM"
"best_checkpoint_nerfactoAppleFruitNeRF_April2026_defaultConfig_001_mseMaskLoss.pth",".pth","231.95","4/11/2026 7:20:05 PM"
"best_checkpoint_nerfactoAppleFruitNeRF_April2026_updatedConfig_001.pth",".pth","231.94","4/9/2026 10:19:19 AM"
"best_checkpoint_nerfactoappleTreeFruitNeRF_April2026_defaultConfig_001_BCEMaskLoss.pth",".pth","231.95","4/12/2026 8:45:43 AM"
"best_checkpoint_nerfactoappleTreeFruitNeRF_April2026_defaultConfig_001_mseMaskLoss.pth",".pth","231.95","4/12/2026 4:17:29 AM"
"best_checkpoint_nerfactoAppleTreeFruitNeRF_April2026_defaultConfig_002_mseMaskLoss.pth",".pth","231.95","4/10/2026 10:47:35 AM"
"best_checkpoint_nerfactopeachTreeFruitNeRF_April2026_defaultConfig_001_BCEMaskLoss.pth",".pth","231.95","4/12/2026 10:41:18 AM"
"best_checkpoint_nerfactopeachTreeFruitNeRF_April2026_defaultConfig_001_mseMaskLoss.pth",".pth","231.95","4/12/2026 4:46:12 PM"
"best_checkpoint_nerfactoplumTreeFruitNeRF_April2026_defaultConfig_001_BCEMaskLoss.pth",".pth","231.95","4/13/2026 2:56:30 AM"
"checkpoint_invNerf_soybeansoybeanRGB_defaultConfig_001_2026.pth",".pth","231.8","4/18/2026 10:26:01 PM"
"checkpoint_invNerf_soybeansoybeanRGBSeg_defaultConfig_001_2026.pth",".pth","231.8","4/18/2026 10:52:00 PM"
