"Name","Extension","SizeKB"
"fruits_3D_PointcloudGeneration_fruitNerf_over_different_ablations_trial_001.py",".py","32.1"
"fruits_3D_PointcloudGeneration_invNerf_over_different_ablations_trial_001.py",".py","29.6"
"fruits_3D_PointcloudGeneration_invNerf_over_different_ablations_trial_002.py",".py","27.6"
"fruits_clusteringAndCounting_April2026_001.py",".py","9.6"
"fruits_densitySA3D_defaultSetting_defaultConfig_April2026_001.py",".py","32.8"
"fruits_densitySA3D_defaultSetting_defaultConfig_April2026_002.py",".py","28.3"
"fruits_fruitNeRF_BCEMaskLoss_defaultConfig_April2026_001.py",".py","42.1"
"fruits_fruitNeRF_mseMaskLoss_defaultConfig_April2026_001.py",".py","42.1"
"fruits_fruitNeRF_mseMaskLoss_defaultConfig_April2026_002.py",".py","40.5"
"fruits_fruitNeRF_mseMaskLoss_updatedConfig_April2026_001.py",".py","40.5"
"fruits_fruitNeRF_updatedConfig_April2026_001.py",".py","39.6"
"fruits_invNerfSeg_defaultSetting_defaultConfig_April2026_001.py",".py","42.1"
"fruits_invNerfSeg_defaultSetting_defaultConfig_April2026_001_fineTuneColorFreezeDensity.py",".py","42.2"
"fruits_invNerfSeg_defaultSetting_defaultConfig_April2026_001_fineTuneDensityFreezeColor.py",".py","42.2"
"fruits_invNerfSeg_defaultSetting_defaultConfig_April2026_001_maskOnly.py",".py","42.2"
"fruits_iou_change_plot_comparison_over_different_ablations_trial_001.py",".py","5.8"
"fruits_originalSA3D_defaultSetting_defaultConfig_April2026_001.py",".py","33"
"fruits_originalSA3D_defaultSetting_defaultConfig_April2026_002.py",".py","28.4"
"soybean_3D_segmentation_trial_001.py",".py","40.4"
"soybeanSinglePod_invNerfSeg_defaultSetting_defaultConfig_April2026_001.py",".py","42.1"
